Date,Open,High,Low,Close,Adj Close,Volume
02/01/2019,61.220001,63.026001,59.759998,62.023998,62.023998,58293000
03/01/2019,61.400002,61.880001,59.476002,60.071999,60.071999,34826000
04/01/2019,61.200001,63.599998,60.546001,63.537998,63.537998,36970500
07/01/2019,64.344002,67.348,63.549999,66.991997,66.991997,37756000
08/01/2019,68.391998,68.802002,65.403999,67.07,67.07,35042500
09/01/2019,67.099998,68.699997,66.293999,67.706001,67.706001,27164500
10/01/2019,66.879997,69.078003,66.358002,68.994003,68.994003,30282000
11/01/2019,68.417999,69.681999,67.753998,69.452003,69.452003,25195500
14/01/2019,68.475998,68.5,66.800003,66.879997,66.879997,26236500
15/01/2019,67,69.760002,66.900002,68.886002,68.886002,30283000
16/01/2019,68.956001,70.400002,68.699997,69.209999,69.209999,23458500
17/01/2019,69.241997,70.300003,68.830002,69.461998,69.461998,18383500
18/01/2019,64.599998,65.426003,59.945999,60.452,60.452,120754000
22/01/2019,60.964001,61.599998,59.099998,59.784,59.784,60333500
23/01/2019,58.5,58.900002,56.338001,57.518002,57.518002,62650000
24/01/2019,56.605999,58.736,55.855999,58.301998,58.301998,40061000
25/01/2019,58.877998,59.703999,57.91,59.408001,59.408001,36248000
28/01/2019,58.582001,59.492001,57.549999,59.276001,59.276001,32116500
29/01/2019,59.054001,59.712002,58.360001,59.492001,59.492001,23108500
30/01/2019,60.09,61.799999,59.698002,61.754002,61.754002,56251500
31/01/2019,60.200001,62.312,58.799999,61.403999,61.403999,62846000
01/02/2019,61.084,63.220001,60.700001,62.442001,62.442001,36417000
04/02/2019,62.596001,63.060001,60.375999,62.577999,62.577999,36760500
05/02/2019,62.498001,64.487999,62.450001,64.269997,64.269997,33714000
06/02/2019,63.917999,64.848,63.124001,63.444,63.444,25192500
07/02/2019,62.66,62.939999,60.599998,61.501999,61.501999,32603000
08/02/2019,61.366001,61.490002,59.700001,61.16,61.16,29221000
11/02/2019,62.32,63.720001,62.099998,62.568001,62.568001,35648500
12/02/2019,63.240002,63.638,61.924,62.362,62.362,27588000
13/02/2019,62.470001,62.549999,61.113998,61.633999,61.633999,25708000
14/02/2019,60.675999,61.354,60.200001,60.754002,60.754002,26004000
15/02/2019,60.900002,61.599998,60.779999,61.576,61.576,19524500
19/02/2019,61.312,62.307999,61.094002,61.127998,61.127998,20842000
20/02/2019,60.882,61.259998,59.799999,60.512001,60.512001,35710500
21/02/2019,60.362,60.647999,58.099998,58.245998,58.245998,44546000
22/02/2019,58.897999,59.299999,58.419998,58.942001,58.942001,28703000
25/02/2019,59.582001,60.580002,59.400002,59.754002,59.754002,33132500
26/02/2019,58.444,60.402,57.754002,59.571999,59.571999,42912500
27/02/2019,60.355999,63.259998,60.110001,62.948002,62.948002,55919500
28/02/2019,63.784,64,62.161999,63.976002,63.976002,52603500
01/03/2019,61.388,61.425999,58.380001,58.958,58.958,114557000
04/03/2019,59.624001,59.799999,56.556,57.071999,57.071999,85484000
05/03/2019,56.400002,56.799999,54.02,55.307999,55.307999,93823500
06/03/2019,55.296001,56.301998,54.877998,55.248001,55.248001,51677500
07/03/2019,55.768002,56.939999,54.849998,55.318001,55.318001,47212500
08/03/2019,55.382,57.118,55.178001,56.827999,56.827999,44098000
11/03/2019,56.703999,58.256001,56.099998,58.183998,58.183998,36961500
12/03/2019,57.298,57.613998,56.212002,56.672001,56.672001,37520500
13/03/2019,56.779999,58.397999,56.540001,57.792,57.792,34223500
14/03/2019,58.490002,59.077999,57.658001,57.992001,57.992001,35517000
15/03/2019,56.702,56.743999,54.880001,55.085999,55.085999,73927500
18/03/2019,55.200001,55.610001,53.459999,53.897999,53.897999,51405000
19/03/2019,53.5,54.66,52.692001,53.493999,53.493999,59003000
20/03/2019,53.938,54.993999,53.259998,54.720001,54.720001,34541000
21/03/2019,54.52,55.290001,53.689999,54.804001,54.804001,29735500
22/03/2019,54.515999,54.560001,52.799999,52.905998,52.905998,43728000
25/03/2019,51.942001,52.636002,50.891998,52.084,52.084,51075000
26/03/2019,52.888,54.051998,52.886002,53.554001,53.554001,36754500
27/03/2019,53.75,55.074001,53.636002,54.966,54.966,43896000
28/03/2019,55.431999,56.066002,55.02,55.723999,55.723999,33870500
29/03/2019,55.740002,56.032001,54.900002,55.972,55.972,29956500
01/04/2019,56.523998,57.84,56.256001,57.835999,57.835999,40552000
02/04/2019,57.66,57.888,56.776001,57.175999,57.175999,27394500
03/04/2019,57.464001,59.234001,57.433998,58.362,58.362,39597000
04/04/2019,52.377998,54.240002,52.118,53.556,53.556,118603500
05/04/2019,53.972,55.220001,53.222,54.992001,54.992001,65191500
08/04/2019,55.537998,56.231998,54.088001,54.639999,54.639999,52052000
09/04/2019,54.330002,55,53.922001,54.462002,54.462002,29520000
10/04/2019,55.348,55.675999,54.577999,55.212002,55.212002,35306500
11/04/2019,53.66,54.099998,53.119999,53.683998,53.683998,49179500
12/04/2019,54.043999,54.389999,53.366001,53.540001,53.540001,33730000
15/04/2019,53.726002,53.776001,51.726002,53.276001,53.276001,50193000
16/04/2019,53.150002,55,52.944,54.672001,54.672001,36364500
17/04/2019,54.950001,54.958,53.708,54.245998,54.245998,25632500
18/04/2019,54.245998,54.967999,53.950001,54.652,54.652,29381500
22/04/2019,53.799999,53.936001,52.495998,52.549999,52.549999,60735500
23/04/2019,52.029999,53.119999,51.150002,52.779999,52.779999,54719500
24/04/2019,52.77,53.063999,51.599998,51.731998,51.731998,53637500
25/04/2019,51,51.799999,49.214001,49.526001,49.526001,109247000
26/04/2019,49.299999,49.335999,46.226002,47.028,47.028,111803500
29/04/2019,47.172001,48.796001,46.433998,48.293999,48.293999,83572500
30/04/2019,48.411999,48.841999,47.400002,47.737999,47.737999,47323000
01/05/2019,47.77,48,46.299999,46.801998,46.801998,53522000
02/05/2019,49.104,49.425999,47.543999,48.82,48.82,90796500
03/05/2019,48.771999,51.321999,48.698002,51.006001,51.006001,118534000
06/05/2019,50.004002,51.669998,49.700001,51.068001,51.068001,54169500
07/05/2019,51.360001,51.442001,49.02,49.411999,49.411999,50657000
08/05/2019,49.388,50.119999,48.84,48.967999,48.967999,30882000
09/05/2019,48.400002,48.736,47.388,48.396,48.396,33557000
10/05/2019,47.950001,48.397999,47.203999,47.903999,47.903999,35041500
13/05/2019,46.402,46.493999,44.900002,45.402,45.402,54174000
14/05/2019,45.860001,46.900002,45.599998,46.462002,46.462002,36262000
15/05/2019,45.863998,46.487999,45.049999,46.389999,46.389999,36480000
16/05/2019,45.897999,46.200001,45.299999,45.666,45.666,37416500
17/05/2019,44.391998,44.448002,41.784,42.206001,42.206001,88933500
20/05/2019,40.560001,41.200001,39.049999,41.071999,41.071999,102631000
21/05/2019,39.551998,41.48,39.208,41.015999,41.015999,90019500
22/05/2019,39.82,40.787998,38.355999,38.546001,38.546001,93426000
23/05/2019,38.868,39.894001,37.243999,39.098,39.098,132735500
24/05/2019,39.966,39.995998,37.75,38.125999,38.125999,70683000
28/05/2019,38.240002,39,37.57,37.740002,37.740002,51564500
29/05/2019,37.419998,38.478001,37.007999,37.972,37.972,59843000
30/05/2019,37.75,38.452,37.403999,37.644001,37.644001,39632500
31/05/2019,37.02,37.984001,36.82,37.032001,37.032001,52033500
03/06/2019,37.102001,37.335999,35.397999,35.793999,35.793999,65322000
04/06/2019,36.220001,38.796001,35.922001,38.720001,38.720001,69037500
05/06/2019,39.736,40.256001,38.369999,39.318001,39.318001,67554000
06/06/2019,40.888,42.200001,40.360001,41.189999,41.189999,101211000
07/06/2019,41,42.167999,40.700001,40.900002,40.900002,80017500
10/06/2019,42.049999,43.388,41.801998,42.576,42.576,52925000
11/06/2019,43.827999,44.18,42.700001,43.419998,43.419998,58267500
12/06/2019,44.59,44.675999,41.799999,41.852001,41.852001,75987500
13/06/2019,42.076,42.98,41.501999,42.782001,42.782001,40841500
14/06/2019,42.25,43.330002,42.080002,42.984001,42.984001,37167000
17/06/2019,43.096001,45.400002,42.854,45.006001,45.006001,61584000
18/06/2019,45.743999,46.948002,44.512001,44.948002,44.948002,63579000
19/06/2019,45.021999,45.554001,44.212002,45.285999,45.285999,32875500
20/06/2019,44.599998,45.380001,43.27,43.924,43.924,59317500
21/06/2019,43.243999,44.436001,43.099998,44.372002,44.372002,41010500
24/06/2019,44.647999,45.172001,44.203999,44.728001,44.728001,28754000
25/06/2019,44.877998,45.068001,43.897999,43.952,43.952,30910500
26/06/2019,44.062,45.445999,43.619999,43.854,43.854,42536000
27/06/2019,43.889999,44.580002,43.470001,44.568001,44.568001,31698500
28/06/2019,44.198002,45.034,44.16,44.692001,44.692001,34257000
01/07/2019,46.042,46.619999,45.256001,45.433998,45.433998,41067000
02/07/2019,45.778,45.830002,44.444,44.91,44.91,46295000
03/07/2019,47.877998,48.313999,46.902,46.98,46.98,71005500
05/07/2019,46.914001,47.09,46.16,46.619999,46.619999,35328500
08/07/2019,46.248001,46.450001,45.731998,46.068001,46.068001,29402500
09/07/2019,45.793999,46.200001,45.456001,46.012001,46.012001,30954000
10/07/2019,46.830002,47.787998,46.627998,47.784,47.784,45728500
11/07/2019,47.627998,48.299999,47.16,47.720001,47.720001,37572000
12/07/2019,47.950001,49.076,47.942001,49.015999,49.015999,46002500
15/07/2019,49.599998,50.883999,48.972,50.700001,50.700001,55000500
16/07/2019,49.860001,50.706001,49.585999,50.476002,50.476002,40745000
17/07/2019,51.133999,51.661999,50.669998,50.972,50.972,48823500
18/07/2019,51.009998,51.150002,50.377998,50.708,50.708,23793000
19/07/2019,51.138,51.992001,50.924,51.636002,51.636002,35242000
22/07/2019,51.75,52.43,50.838001,51.136002,51.136002,34212000
23/07/2019,51.341999,52.096001,50.900002,52.034,52.034,25115500
24/07/2019,51.834,53.214001,51.632,52.976002,52.976002,55364000
25/07/2019,46.700001,46.900002,45.110001,45.764,45.764,112091500
26/07/2019,45.383999,46.051998,44.450001,45.608002,45.608002,50138500
29/07/2019,45.417999,47.188,45.206001,47.153999,47.153999,46366500
30/07/2019,46.580002,48.672001,46.436001,48.452,48.452,40545000
31/07/2019,48.599998,49.335999,47.330002,48.321999,48.321999,45891000
01/08/2019,48.529999,48.902,46.354,46.77,46.77,41297500
02/08/2019,46.27,47.254002,45.846001,46.868,46.868,30682500
05/08/2019,45.919998,46.273998,45.155998,45.664001,45.664001,35141500
